"","Sample","depth","ring","treatment","plant","bulkdensity","drywt","lf_final","hf_final","lf_perC","lf_isoC","lf_perN","lf_isoN","hf_perC","hf_isoC","hf_perN","hf_isoN","soc_perC","soc_isoC","lf_mgCgsoil","lf_gCm2","lf_mgNgsoil","lf_gNm2","lf_CN","hf_mgCgsoil","hf_gCm2","hf_mgNgsoil","hf_gNm2","hf_CN","ws_mgCgsoil","ws_gCm2","sum_frac","dif_soc","per_recovery"
"11",133,"20","5","ambient","LATR",1499213.902,25.025,0.072,24.793,21.98088673,-20.61938385,1.609935367,4.59291676,0.16,-24.6,0.0192204,7.8674091,0.25354162,-25.39498065,0.632417120703297,94.8128539221194,0.0463198187508491,6.94433162093933,13.6532727838384,1.58516683316683,237.650415327303,0.190422128751249,28.5483502672306,8.32448856423384,2.5354162,380.113121439601,2.21758395387013,0.31783224612987,12.5357030585302
"12",139,"20","6","ambient","LATR",1499213.902,25.036,0.101,24.683,20.29844333,-21.57201513,1.666788739,4.730158255,0.2,-24.68,0.0226906,8.4467863,0.33031213,-24.56474214,0.818877926318102,122.767317117703,0.0672414373857645,10.0809297719201,12.1781740271285,1.97180060712574,295.615088217495,0.223706694280236,33.5384186035394,8.81422262963518,3.3031213,495.208537295231,2.79067853344384,0.512442766556159,15.5138948895446
"13",73,"40","1","elevated","LATR",1292567.213,25.001,0.06,24.796,16.03092697,-23.65369739,0.914181063,5.026813993,0.11,-27.67,0.0137734,8.4816313,0.23816478,-27.11718544,0.384726858205672,49.7285322877151,0.0219394679332827,2.8358236921226,17.5358335660471,1.09098036078557,141.016544437834,0.136604626374945,17.6570661196369,7.98640858466319,2.3816478,307.843985919358,1.47570721899124,0.90594058100876,38.0383943003143
"14",79,"40","2","elevated","LATR",1292567.213,25.011,0.084,24.639,21.97041008,-22.82691216,1.193050491,5.189521462,0.14,-25.05,0.0187098,8.7325074,0.24325773,-25.29930261,0.73788111099916,95.3760931169528,0.0400688661964735,5.17917027076457,18.4153229437798,1.3791771620487,178.267918058254,0.184315206189277,23.8239792377594,7.48270959604058,2.4325773,314.426966106807,2.11705827304786,0.315519026952141,12.9705652910656
"15",85,"40","3","elevated","LATR",1292567.213,25.022,0.076,24.736,12.24902974,-20.0995699,0.958963408,4.800040458,0.13,-25.85,0.0152973,8.5995128,0.191550349,-28.18198948,0.372043106162577,48.0890720848425,0.0291268559699464,3.76484190445261,12.7731982657674,1.28514107585325,166.113121872746,0.151224527535769,19.546786609415,8.49823171409334,1.91550349,247.591700756107,1.65718418201583,0.258319307984174,13.4857132515156
"16",91,"40","4","ambient","LATR",1292567.213,25.064,0.035,24.911,18.71720653,-21.96293591,1.635361215,5.262739823,0.14,-26.44,0.0165339,9.1335117,0.174820399,-27.37129809,0.26137177966406,33.7840592797224,0.0228365953259655,2.95178343748921,11.4453041678624,1.39145387807214,179.854766119774,0.164329709104692,21.2407194110552,8.46745172040475,1.74820399,225.967115910978,1.6528256577362,0.0953783322638042,5.45578964522351
"17",97,"40","5","ambient","LATR",1292567.213,25.038,0.188,24.975,11.20321691,-22.63809616,0.699037806,4.911901843,0.13,-27.26,0.0108883,6.699656,0.235826744,-25.96390493,0.841203282642383,108.731178261152,0.0524878614617781,6.78440888059806,16.026625189425,1.29672897196262,167.610935330607,0.108609031272466,14.0384472858481,11.9394212135962,2.35826744,304.821917242944,2.137932254605,0.220335185395,9.34309576843412
"18",103,"40","6","ambient","LATR",1292567.213,25.023,0.045,24.84,19.31074697,-21.57672136,1.536145071,3.240082596,0.12,-28.87,0.0160491,4.4001993,0.176351897,-25.66595555,0.347273953422851,44.8874926123266,0.0276251960975902,3.57074227284407,12.5709136035108,1.19122407385206,153.973718119746,0.159317285697159,20.5928299956301,7.47705478811896,1.76351897,227.946680012553,1.53849802727491,0.225020942725093,12.7597687664847
"19",37,"60","1","elevated","LATR",1576997.704,25,0.041,24.767,16.72222191,-21.45084402,1.310095177,4.706483663,0.21,-25.95,0.0129877,7.9215974,0.171695173,-25.43355504,0.274244439324,43.2482851148715,0.0214855609028,3.38826802128678,12.7641275256752,2.080428,328.083017933731,0.12866654636,20.290684819133,16.1691446522479,1.71695173,270.762893608883,2.354672439324,-0.637720709324,-37.1426114189011
"20",43,"60","2","elevated","LATR",1576997.704,25.03,0.03,24.729,20.92191839,-20.8538803,1.525586095,3.91938628,0.11,-25.3,0.0112347,7.7531839,0.144706658,-25.33834249,0.250762106152617,39.5451265652881,0.0182850910307631,2.88355465729444,13.7140201123818,1.0867718737515,171.383674967789,0.110995963363963,17.5040379378238,9.7910936651624,1.44706658,228.202067419513,1.33753397990412,0.109532600095885,7.56928545028557
