Compound,Type,Source,LATR_1,AMDU_1,PLRI_1,LYPA_1,LYAN_1,INSP_1,LATR_2,AMDU_2,PLRI_2,LYPA_2,LYAN_2,LATR_3,AMDU_3,PLRI_3,LYPA_3,LYAN_3,INSP_3,LATR_4,AMDU_4,PLRI_4,LYPA_4,LYAN_4,INSP_4,LATR_5,AMDU_5,PLRI_5,LYPA_5,LYAN_5,INSP_5,LATR_6,AMDU_6,PLRI_6,LYPA_6,LYAN_6,INSP_6
Pyridine 3-methyl,Aromatic,N-Bearing,0,0.008621863,0.012426363,0.007567846,0.005417733,0,0.014565578,0,0,0,0.007938588,0.001527609,0.007935626,0,0,0.013714646,0.002318382,0.006468438,0.000468233,0.010588028,0.008056496,0,0,0.002811292,0.001505886,0.001873732,0.004273364,0.00757228,0,0.001533283,0,0,0.002051374,0,0
"1H-Pyrrole, 3-methyl-",Aromatic,N-Bearing,0,0.005307834,0.003299947,0,0.002699087,0,0.003186515,0,0,0,0.003858006,0.001742897,0.00936129,0,0.002303653,0.020533661,0.001056152,0.006468438,0.000383824,0.007581551,0.009215436,0,0,0.000969896,0,0.000744719,0.003013269,0.007915275,0,0.007763951,0,0.008648017,0.001551169,0,0
"Propane, 2-nitro-",Aliphatic,N-Bearing,0,0.008783523,0.001691223,0,0.001150046,0,0.018053775,0,0,0,0.005811739,0.001155067,0.003504043,0,0,0.004995503,0.001942718,0.001714136,0.000283488,0.009803729,0.003233814,0,0,0.003549256,0,0.002637546,0.002976745,0.002179339,0,0.00134211,0,0.000823246,0.000744987,0,0.002982398
4-Pyridinecarboxaldehyde,Aromatic,N-Bearing,0,0.00625085,0.009384225,0.004681626,0.003989955,0,0.002022211,0,0,0.000646754,0.006405279,0.001115754,0.002559325,0,0,0.003386522,0.001644334,0.007144684,0,0.005490088,0.009607979,0,0,0.0014689,0,0,0.004510773,0.008284654,0,0.003608872,0,0,0.00311298,0.002430252,0
"Pyridine, 2-ethyl",Aliphatic,N-Bearing,0,0.002036915,0.000696083,0,0.001144178,0,0.002050494,0,0,0,0.001211809,0.0004156,0.00112679,0,0,0.00384623,0.000560276,0.001908189,0,0.002186232,0.001658031,0,0,0,0,0,0.001398887,0.001556671,0,0.001385026,0,0,0.000417725,0,0
3-Pyridinecarbonitrile,Aromatic,N-Bearing,0,0,0.000757957,0,0.000600449,0,0,0,0,0,0.001125252,0.000756316,0,0,0,0.001000633,0,0.001814103,0.000476196,0.001918263,0.001188847,0,0,0,0,0.000866452,0.001336796,0.002005203,0,0,0,0,0.000875359,0.00115842,0
"1H-Tetrazole, 1-methyl-",Aromatic,N-Bearing,0,0,0,0,0,0,0,0,0,0,0.001187079,0.000995941,0.001958141,0,0,0.001869483,0,0,0.001030431,0.001941138,0.001459889,0,0,0,0,0.001277002,0.001528549,0.001701784,0,0.0007881,0,0.002223776,0,0,0
"1H-Pyrrole-2-carboxaldehyde, 1-methyl-",Aromatic,N-Bearing,0,0.00050384,0,0,0,0,0,0,0,0,0.000353651,0,0,0,0,0.006834338,0,0.001573007,0,0.000571884,0.001121554,0,0,0,0,0,0.000315937,0,0.000212964,0,0,0.000302119,0,0,0
"Piperidine-2,5-dione",Aromatic,N-Bearing,0,0.001161257,0,0,0,0,0,0,0,0,0,0,0.002920036,0.000331123,0,0.003355874,0,0,0,0,0.00211226,0,0.00231864,0,0,0,0,0,0,0.00226286,0,0,0,0,0.001003731
p-Aminotoluene,Aromatic,N-Bearing,0.00045581,0,0,0,0,0,0,0,0,0,0.000628162,0,0.002147085,0,0.001638979,0,0,0,0,0.002483611,0,0,0,0,0,0.000422485,0.000405422,0,0,0,0,0,0,0,0
N-Butyl-tert-butylamine,Aliphatic,N-Bearing,0,0,0,0,0,0.001997458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002254589,0,0.001450112,0,0,0,0.000493179,0,0,0,0,0,0
Thiazole,Aromatic,N-Bearing,0,0.000414927,0.001294198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001238538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexanedinitrile,Aliphatic,N-Bearing,0,0,0,0,0.000618052,0,0,0,0,0,0,0,0,0,0,0.002313868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Dimethylaminopyrimidine,Aromatic,N-Bearing,0,0,0,0,0,0,0,0,0,0,0,0,0.000748903,0,0,0.001976748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyrimidine,Aromatic,N-Bearing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001884806,0,0,0,0,0,0,0,0,0,0.000274496,0,0,0,0,0,0,0,0,0
"Ethanone, 1-(1-methyl-1H-pyrrol-2-yl)-",Aromatic,N-Bearing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001075719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Amino-2(1H)-pyridinone,Aromatic,N-Bearing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000923052,0,0,0,0,0,0,0,0,0,0
2-Amino-4-methylpyrimidine,Aromatic,N-Bearing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000727627,0,0,0,0,0
"Dimethylpyrrole (2,5 or 2,4)",Aromatic,N-Bearing,0,0.000463425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Pyrimidinamine,Aromatic,N-Bearing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000375429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyridine, 4-methoxy-",Aromatic,N-Bearing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000185711,0,0,0,0,0
1H-Pyrrole-2-carboxaldehyde,Aromatic,N-Bearing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phenol, 4-methyl-",Aromatic,Phenol,0.029865503,0.045534212,0.042538381,0.020041743,0.038726031,0.039419527,0.017818086,0.009117264,0.012323096,0.007820448,0.048472378,0.033697264,0.060290145,0.015364101,0.011064139,0.070948395,0.0337024,0.08232558,0.011148407,0.072874388,0.049722228,0.020451238,0.007878252,0.010788332,0.012353838,0.035565103,0.040176925,0.075195112,0.014234949,0.066325209,0.000498296,0.023136254,0.039643939,0.056300833,0.025669188
