Sample,depth,ring,treatment,plant,bulkdensity,drywt,lf_final,hf_final,lf_perC,lf_isoC,lf_perN,lf_isoN,hf_perC,hf_isoC,hf_perN,hf_isoN,soc_perC,soc_isoC,soc_perN
143,20,6,ambient,LYAN,1499213.902,25.009,0.142,24.616,22.03852296,-21.835589,2.065390242,4.945678231,0.21,-29.36,0.0209652,7.3925575,0.113676311,-24.87794529,
144,20,6,ambient,INSP,1499213.902,25.02,0.053,24.806,22.97104254,-22.57547851,2.361556995,5.460079684,0.11,-26.1,0.0139558,8.83774,0.108416535,-26.12454795,
145,0,1,elevated,LATR,1701998.865,25.01,0.067,24.769,17.57315876,-23.24194388,1.263424322,5.501760434,0.15,-26.67,0.016287,6.3104878,0.442535625,-24.42249578,0.0500
146,0,1,elevated,AMDU,1701998.865,25.045,0.063,24.752,20.83706753,-24.04772686,1.445361025,4.111046625,0.16,-26.25,0.0198807,7.5409426,0.169093643,-25.64190357,0.0252
147,0,1,elevated,PLRI,1701998.865,25.006,0.046,24.83,19.92869373,-22.33167268,1.263882999,4.359097918,0.14,-26.63,0.0176483,7.9530562,0.190773571,-23.13334893,
148,0,1,elevated,LYPA,1701998.865,25.056,0.046,24.946,19.96486037,-20.7408161,1.496156836,5.031072938,0.1,-26.9,0.012321,8.1515558,0.295524452,-24.59479225,
149,0,1,elevated,LYAN,1701998.865,25.012,0.105,24.695,18.82110554,-22.34955805,1.142222353,5.202878957,0.16,-26.59,0.0177595,9.1954424,0.232152654,-26.1187956,
150,0,1,elevated,INSP,1701998.865,25.012,0.035,24.83,18.79348497,-23.66931008,1.3290715,4.400778668,0.14,-30.27,0.0222618,8.5686155,0.178610002,-28.30030103,
151,0,2,elevated,LATR,1701998.865,25.041,0.087,24.669,17.67352121,-23.19487711,1.261660492,5.099185384,0.13,-27.5,0.0230863,9.0445788,0.264369092,-25.34038474,0.0330
152,0,2,elevated,AMDU,1701998.865,25.023,0.082,24.72,17.27514397,-24.15503908,1.463557453,5.946016234,0.16,-27.07,0.0277919,9.894006,0.176025724,-26.35160096,0.0249
153,0,2,elevated,PLRI,1701998.865,25.022,0.27,24.445,10.34453291,-18.76871873,0.580560643,2.801661109,0.18,-24.21,0.0290932,7.9211429,,,
154,0,2,elevated,LYPA,1701998.865,25.02,0.198,24.638,19.94963977,-24.27176465,1.723818118,5.862654734,0.21,-26.42,0.0344268,8.3979763,0.313828457,-25.75266559,
155,0,2,elevated,LYAN,1701998.865,25.005,0.095,24.628,17.08592964,-23.55540852,1.459261071,7.549200208,0.16,-26.66,0.0258801,8.6946247,0.141746555,-26.5372299,
156,0,2,elevated,INSP,1701998.865,,,,,,,,,,,,,,
157,0,3,elevated,LATR,1701998.865,25.005,0.075,24.713,21.13682636,-23.54505383,1.587422817,5.361469128,0.13,-27.79,0.0190284,6.9585351,0.257921353,-24.49223483,0.0306
158,0,3,elevated,AMDU,1701998.865,25.01,0.082,24.759,21.69838145,-24.19739916,1.51707043,4.874515975,0.16,-26.12,0.0205437,7.4094804,0.147955341,-25.16056337,0.0165
159,0,3,elevated,PLRI,1701998.865,25.018,0.084,24.733,18.68386992,-21.31597194,1.331002796,4.649846565,0.13,-25.73,0.0188021,7.4035076,0.175573946,-25.24072414,
160,0,3,elevated,LYPA,1701998.865,25.007,0.168,24.833,15.91107085,-24.01854547,1.273700637,4.699660145,0.1,-28.44,0.0099427,6.694737,0.369146105,-23.34769395,
161,0,3,elevated,LYAN,1701998.865,25.037,0.055,24.999,19.05584425,-23.91123325,1.496154174,3.623076867,0.17,-24.7,0.0135145,7.5897307,0.347189162,-25.40807264,
162,0,3,elevated,INSP,1701998.865,25.01,0.06,24.91,17.48483036,-23.77097429,1.332683052,4.496339412,0.14,-25.99,0.0188963,6.4355879,0.149120925,-26.74747262,
163,0,4,ambient,LATR,1701998.865,25.004,0.355,24.586,8.957445874,-21.51741768,0.64913302,6.170685643,0.24,-23.98,0.0289347,9.1382639,0.61262137,-23.56968051,0.0705
164,0,4,ambient,AMDU,1701998.865,25.025,0.06,24.81,16.39204147,-22.89459117,1.272577902,6.34757468,0.11,-26.65,0.0134632,8.232367,0.200275912,-25.468874,0.0264
165,0,4,ambient,PLRI,1701998.865,25.035,0.102,24.882,18.30203872,-19.38905866,1.372819481,4.772855608,0.16,-23.3,0.0194668,9.1052312,0.149223379,-23.0784389,
166,0,4,ambient,LYPA,1701998.865,25.046,0.057,24.653,15.95490261,-23.87546251,1.296604885,5.598337782,0.13,-26.19,0.0172218,12.3274217,0.56424222,-23.99823229,
167,0,4,ambient,LYAN,1701998.865,25.008,0.052,24.516,19.41751333,-23.4480963,1.499051473,6.812162553,0.19,-25.73,0.0241642,10.594706,0.463879015,-24.07222684,
168,0,4,ambient,INSP,1701998.865,25.024,0.148,24.847,14.96384914,-23.49704573,1.339681476,7.41094211,0.12,-25.1,0.0149147,8.9731004,0.132228167,-26.65586994,
169,0,5,ambient,LATR,1701998.865,25.022,0.102,24.61,18.72096997,-21.84029568,1.417161685,5.113417835,0.17,-26.81,0.0195183,9.8386616,0.545864096,-23.13599022,0.0590
170,0,5,ambient,AMDU,1701998.865,25.072,0.06,24.753,17.03755138,-22.44463291,1.491529146,5.741678898,0.14,-27.6,0.0159705,8.9785033,0.201749899,-26.5376842,0.0266
171,0,5,ambient,PLRI,1701998.865,25.017,0.101,24.791,19.34809989,-23.07062086,1.548629499,4.887731822,0.11,-27.38,0.0128588,8.5439076,0.25346481,-23.18531992,
172,0,5,ambient,LYPA,1701998.865,25.079,0.106,24.659,12.595548,-20.53654634,0.934280162,5.270991403,0.17,-25.74,0.019963,8.9774996,0.20461575,-24.09586399,
173,0,5,ambient,LYAN,1701998.865,25.002,0.156,24.551,20.97656106,-21.98055463,1.946784452,5.034122749,,,,,0.36689497,-24.17088624,
174,0,5,ambient,INSP,1701998.865,25.066,0.041,24.792,14.53166944,-22.11610691,1.184316442,5.471262324,0.11,-25.58,0.0138617,12.8035477,0.126844761,-24.57785628,
175,0,6,ambient,LATR,1701998.865,25.024,0.056,24.761,14.503474,-22.36556075,1.126593381,5.810807947,0.15,-28.16,0.0165061,9.4110917,0.412619249,-23.12263009,0.0511
176,0,6,ambient,AMDU,1701998.865,25.038,0.043,24.687,15.36378191,-21.92783986,1.193813436,5.18153028,0.12,-28,0.0137702,8.5469187,0.165642764,-26.07521825,0.0220
177,0,6,ambient,PLRI,1701998.865,25.068,0.078,24.626,18.53138863,-21.91089582,1.332003777,4.56241865,0.2,-24.28,0.0242446,9.4231359,0.185558719,-22.84617822,
178,0,6,ambient,LYPA,1701998.865,25.028,0.14,24.735,20.48199928,-23.61753665,1.519076218,5.366552147,0.21,-25.14,0.0241534,7.3705996,0.252515875,-23.8615479,
179,0,6,ambient,LYAN,1701998.865,25.006,0.206,24.465,19.64267671,-22.89741517,1.411884395,5.834189831,0.28,-24.26,0.0319107,8.1816407,0.444067659,-24.29009968,
180,0,6,ambient,INSP,1701998.865,25.009,0.046,24.88,16.08719357,-22.61313192,1.240351872,5.157131792,0.14,-26.86,0.016031,9.4684244,0.162377475,-24.09894709,
